Id,Label,Properties:name,Properties:uniprotId,Properties:family,Properties:chromosome,Properties:geneSymbol,Properties:organism,Properties:tissueSpecificity,Properties:molecularFunction,Properties:cellularLocation,Properties:expression,Properties:source,Properties:confidence
TARGET_00176,Target,Protein_Target_176,P26889,STRUCTURAL_PROTEIN,chr11,GENE576,Homo sapiens,brain,structural molecule activity,membrane,high,UNIPROT,0.944
TARGET_00177,Target,Protein_Target_177,P21683,HORMONE,chr12,GENE434,Homo sapiens,kidney,transporter activity,cytoplasm,medium,UNIPROT,0.932
TARGET_00178,Target,Protein_Target_178,P13058,HORMONE,chr8,GENE244,Homo sapiens,heart,protein kinase activity,membrane,high,UNIPROT,0.817
TARGET_00179,Target,Protein_Target_179,P73868,NUCLEAR_RECEPTOR,chr1,GENE151,Homo sapiens,kidney,receptor binding,membrane,high,UNIPROT,0.846
TARGET_00180,Target,Protein_Target_180,P97503,ENZYME,chr11,GENE668,Homo sapiens,lung,structural molecule activity,membrane,low,UNIPROT,0.872
TARGET_00181,Target,Protein_Target_181,P11449,CYTOKINE,chr14,GENE523,Homo sapiens,liver,structural molecule activity,mitochondria,medium,UNIPROT,0.848
TARGET_00182,Target,Protein_Target_182,P86490,KINASE,chr19,GENE237,Homo sapiens,liver,structural molecule activity,cytoplasm,low,UNIPROT,0.866
TARGET_00183,Target,Protein_Target_183,P58032,NUCLEAR_RECEPTOR,chr1,GENE485,Homo sapiens,lung,receptor binding,mitochondria,low,UNIPROT,0.829
TARGET_00184,Target,Protein_Target_184,P44014,ION_CHANNEL,chr15,GENE473,Homo sapiens,brain,receptor binding,mitochondria,low,UNIPROT,0.927
TARGET_00185,Target,Protein_Target_185,P19434,ENZYME,chr9,GENE912,Homo sapiens,brain,receptor binding,mitochondria,medium,UNIPROT,0.931
TARGET_00186,Target,Protein_Target_186,P44038,ION_CHANNEL,chr10,GENE495,Homo sapiens,brain,structural molecule activity,nucleus,low,UNIPROT,0.93
TARGET_00187,Target,Protein_Target_187,P80855,TRANSPORTER,chr12,GENE807,Homo sapiens,kidney,DNA binding,mitochondria,medium,UNIPROT,0.836
TARGET_00188,Target,Protein_Target_188,P74632,KINASE,chr2,GENE516,Homo sapiens,lung,enzyme activity,cytoplasm,medium,UNIPROT,0.875
TARGET_00189,Target,Protein_Target_189,P94936,STRUCTURAL_PROTEIN,chr11,GENE197,Homo sapiens,muscle,enzyme activity,membrane,low,UNIPROT,0.907
TARGET_00190,Target,Protein_Target_190,P96589,TRANSPORTER,chr2,GENE536,Homo sapiens,liver,protein kinase activity,cytoplasm,medium,UNIPROT,0.892
TARGET_00191,Target,Protein_Target_191,P72488,ENZYME,chr4,GENE917,Homo sapiens,liver,receptor binding,cytoplasm,low,UNIPROT,0.801
TARGET_00192,Target,Protein_Target_192,P78536,HORMONE,chr11,GENE955,Homo sapiens,brain,structural molecule activity,membrane,medium,UNIPROT,0.946
TARGET_00193,Target,Protein_Target_193,P51485,CYTOKINE,chr12,GENE595,Homo sapiens,muscle,protein kinase activity,cytoplasm,medium,UNIPROT,0.854
TARGET_00194,Target,Protein_Target_194,P79569,CYTOKINE,chr6,GENE631,Homo sapiens,kidney,transporter activity,mitochondria,low,UNIPROT,0.88
TARGET_00195,Target,Protein_Target_195,P79638,NUCLEAR_RECEPTOR,chr14,GENE213,Homo sapiens,lung,DNA binding,nucleus,low,UNIPROT,0.833
TARGET_00196,Target,Protein_Target_196,P97568,HORMONE,chr6,GENE300,Homo sapiens,heart,protein kinase activity,membrane,high,UNIPROT,0.936
TARGET_00197,Target,Protein_Target_197,P89020,KINASE,chr4,GENE729,Homo sapiens,kidney,transporter activity,nucleus,low,UNIPROT,0.848
TARGET_00198,Target,Protein_Target_198,P63737,KINASE,chr20,GENE338,Homo sapiens,liver,receptor binding,cytoplasm,medium,UNIPROT,0.82
TARGET_00199,Target,Protein_Target_199,P47394,GPCR,chr12,GENE476,Homo sapiens,liver,transporter activity,membrane,medium,UNIPROT,0.833
TARGET_00200,Target,Protein_Target_200,P43855,STRUCTURAL_PROTEIN,chr5,GENE948,Homo sapiens,heart,receptor binding,cytoplasm,medium,UNIPROT,0.923
